Internal ID (specific to validation data),isolates,Source,Lab,Country,INH,RIF,EMB,STR,CIP,CYS,CAP,ETA,KAN,OFLX,PAS,PZA,AMK,MOXI,PRO,CLO,RBU,LEVO
4116,1479149361993T895115lib5733nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,R,NULL,NULL,S,S,NULL,NULL,NULL,S
4117,1479149361993T895215lib5734nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,R,NULL,NULL,S,R,NULL,NULL,NULL,R
4118,1479149361993T895315lib5735nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4119,1479149361993T895415lib5736nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4120,1479150601544T895515lib5737nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4121,1479150601544T895615lib5738nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,R,R,NULL,NULL,R,I,NULL,NULL,NULL,S
4122,1479150601544T895715lib5739nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4123,1479150601544T895815lib5740nextseqn0051151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4124,1479150601544T895915lib5741nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,I,NULL,NULL,R,I,NULL,NULL,NULL,S
4125,1479150601544T896015lib5742nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,R,NULL,NULL,R,R,NULL,NULL,NULL,R
4126,1479150601544T896215lib5744nextseqn0051151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4127,1479150601544T896315lib5745nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,R,S,NULL,NULL,R,S,NULL,NULL,NULL,S
4128,1479150601544T896415lib5746nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4129,1479150601544T896515lib5747nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,R,NULL,NULL,S,R,NULL,NULL,NULL,R
4130,1479150601544T896615lib5748nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,R,NULL,R,R,NULL,NULL,R,R,NULL,NULL,NULL,I
4131,1479150601544T896715lib5749nextseqn0051151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,R,S,S,NULL,R,S,S,NULL,NULL,NULL,S
4132,1479150601544T896815lib5750nextseqn0051151bp,ReseqTB,Borstel,Germany,R,R,R,NULL,NULL,NULL,S,S,R,R,NULL,R,I,R,NULL,NULL,NULL,R
4133,1479150601544T896915lib5751nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4134,1479150601544T897115lib5752nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,R,NULL,NULL,S,R,NULL,NULL,NULL,R
4135,1479150601544T897315lib5754nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4136,1479150601544T897415lib5755nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4137,1479150601544T897515lib5756nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4138,1479150601544T897615lib5757nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,R,NULL,NULL,S,R,NULL,NULL,NULL,R
4139,1479150601544T897715lib5758nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4140,1479150601544T897915lib5759nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4141,1479150601544T898015lib5760nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4142,1479150601544T898115lib5761nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,R,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4143,1479150601544T898315lib5762nextseqn0051151bp,ReseqTB,Borstel,Germany,NULL,NULL,NULL,NULL,NULL,NULL,S,NULL,S,S,NULL,NULL,S,S,NULL,NULL,NULL,S
4144,1479151773189T1375914lib3391nextseqn0004151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
4145,1479151773189T1376014lib3392nextseqn0012151bp,ReseqTB,Borstel,Germany,R,R,S,NULL,NULL,NULL,S,S,S,S,NULL,S,S,S,NULL,NULL,NULL,S
